Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
4800888184030 ,REXONA MEN XTRA COOL 50 ML,DEODRANTS AND BODY SPRAY,BOTTLE,181,240,,VAT @ 16%,INCLUSIVE,ROLL ON,,,,,,,
4800888184023 ,REXONA POWDER 50 ML,DEODRANTS AND BODY SPRAY,BOTTLE,181,240,,VAT @ 16%,INCLUSIVE,ROLL ON,,,,,,,
4800888184016 ,REXONA SHOWER CLEAN 50 ML,DEODRANTS AND BODY SPRAY,BOTTLE,181,240,,VAT @ 16%,INCLUSIVE,ROLL ON,,,,,,,
4800888183996 ,REXONA MEN ACTIVE 50 ML,DEODRANTS AND BODY SPRAY,BOTTLE,181,240,,VAT @ 16%,INCLUSIVE,ROLL ON,,,,,,,
4800888182111 ,REXONA MEN QUANTUM 25 ML,DEODRANTS AND BODY SPRAY,BOTTLE,92,120,,VAT @ 16%,INCLUSIVE,ROLL ON,,,,,,,
4800888182180 ,REXONA POWDER 25 ML ,DEODRANTS AND BODY SPRAY,BOTTLE,92,120,,VAT @ 16%,INCLUSIVE,ROLL ON,,,,,,,
4800888183989 ,REXONA MEN QUANTUM 50 ML,DEODRANTS AND BODY SPRAY,BOTTLE,181,240,,VAT @ 16%,INCLUSIVE,ROLL ON,,,,,,,
4800888182166 ,REXONA COTTON 25 ML,DEODRANTS AND BODY SPRAY,BOTTLE,92,120,,VAT @ 16%,INCLUSIVE,ROLL ON,,,,,,,
4800888182128 ,REXONA SHOWER CLEAN 25 ML,DEODRANTS AND BODY SPRAY,BOTTLE,92,120,,VAT @ 16%,INCLUSIVE,ROLL ON,,,,,,,
4800888182173 ,REXONA MEN XTRA COOL 25 ML,DEODRANTS AND BODY SPRAY,BOTTLE,92,120,,VAT @ 16%,INCLUSIVE,ROLL ON,,,,,,,
4800888182142 ,REXONA MEN ACTIVE 25 ML ,DEODRANTS AND BODY SPRAY,BOTTLE,92,120,,VAT @ 16%,INCLUSIVE,ROLL ON,,,,,,,
8934839120856 ,CLOSE UP DEEP ACTION 125 G,TOOTH PASTE,TUBE,139,185,,VAT @ 16%,INCLUSIVE,TOOTH PASTE,,,,,,,
6221048413711 ,CLOSE UP DEEP ACTION 13 G,TOOTH PASTE,TUBE,13,15,,VAT @ 16%,INCLUSIVE,TOOTH PASTE,,,,,,,
6162006603853 ,OMO HAND WASHING POWDER 30 G,SOAPS AND DETERGENTS,PACK,,,,VAT @ 16%,INCLUSIVE,DETERGENT,,,,,,,
6161100605176 ,KNORR RICH MEATY SEASONING CUBES (40X4g),SEASONING,PACK,,,,VAT @ 16%,INCLUSIVE,SEASONING,,,,,,,
8934839120085 ,PEPSODENT TOOTHPASTE 65G,TOOTH PASTE,TUBE,72,90,,VAT @ 16%,INCLUSIVE,TOOTH PASTE,,,,,,,
6161100604063 ,VIM ALL PURPOSE CLEANER LEMON FRESH 500 G,CLEANING,BOTTLE,48,55,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6162006604003 ,PEPSODENT TOOTHPASTE 140 G (BUY 2 SAVE 100),TOOTH PASTE,TUBE,240,300,,VAT @ 16%,INCLUSIVE,TOOTH PASTE,,,,,,,
6162006603990 ,PEPSODENT TOOTHPASTE 150 G (BUY 1 GET 1 FREE),TOOTH PASTE,TUBE,136,170,,VAT @ 16%,INCLUSIVE,TOOTH PASTE,,,,,,,
6161109723840 ,SUNLIGHT TURBO LEMONDISH WASHING LIQUID 400 ML,CLEANING,BOTTLE,114,140,,VAT @ 16%,INCLUSIVE,TOOTH PASTE,,,,,,,
6162006608223 ,VIM ALL PURPOSE CLEANER LAVENDER FRESH 1 KG,CLEANING,BOTTLE,110,120,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6162006605817 ,VIM ALL PURPOSE CLEANER LEMON FRESH 1 KG,CLEANING,BOTTLE,110,120,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
8934839120108 ,PEPSODENT TOOTHPASTE 35 G,TOOTH PASTE,TUBE,32,40,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
